Obal,Popis,X,Y,Z,Weight
OM0000,Bez obalu,0,0,0,0
OM0001,Karton 195x145x92,19.5,14.5,9.2,0.058
OM0002,Karton 230x230x155,23,15.5,23,0.128
OM0003,Karton 255x335x185,25.5,18.5,33.5,0.186
OM0004,Karton 400x315x240,40,24,31.5,0.286
OM0005,Karton 590x390x250,59,25,39,0.833
OM0006,Karton 650x450x300,65,30,45,1.116
OM0007,Karton 600x550x520,60,52,55,1.645
OM0008,Karton Recyklovany,30,30,30,0.5
OM0009,Obálka malá 165x225x5,16.7,0.5,23,0.009
OM0010,Obálka velká 235x275x5,23.7,0.5,27,0.015
PAL01,Euro paleta,120,80,15,13
PAL02,Paleta 120x80,120,80,15,7
PAL03,Paleta 120x100,120,100,15,15
PAL04,Paleta atyp,50,50,15,5
PAL05,"TV paleta 1, 145x75",75,145,15,11.5
PAL06,"TV paleta 2, 190x75",75,190,15,14.5
PAL07,"TV paleta 3, 240x75",75,240,15,16
