Product,RowId,Unit,PackageType,ContentQty,X,Y,Z,Weight
875,164152,0,1,1,18.9,8.5,9.2,0.488
875,218244,1,1,20,45,22,43,9.24
875,705500,1,1,20,47.4,22.6,38.1,10.582
876,164153,0,1,1,10.7,4.3,18.7,0.106
1681,164958,0,1,1,23.7,19.3,27.6,1.884
1681,218253,1,1,4,20,23,40,8
2252,165529,0,1,1,30.6,1.9,21.9,0.576
2252,556852,1,1,20,46,19,32,12.15
2309,165586,0,1,1,31.1,2.2,43.8,1.262
2314,165591,0,1,1,67,12,12,3.32
2319,165596,0,1,1,43.3,1.7,31.3,1.046
2319,554213,1,1,10,45,17,33,10.88
2321,165598,0,1,1,49.6,1.6,34.4,1.31
2321,547966,1,1,10,51,16,36,13.75
2323,165600,0,1,1,21.9,0.9,30.2,0.42
2323,549862,1,1,20,32,19,24,8.88
2324,165601,0,1,1,31.5,1.6,43.5,1.038
2326,165603,0,1,1,34,9.5,9.5,1.21
2328,165605,0,1,1,30.9,2,22.2,0.75
2328,522753,1,1,20,47,20,33,15.4
12045,175322,0,1,1,12.7,2,20,0.098
12045,550922,1,1,100,39,28,34,10.04
13059,176336,0,1,1,8.8,2,7.5,0.032
13264,176541,0,1,1,7.7,3.4,49.3,0.152
13264,483399,1,1,50,51,32,48,8.75
13549,176826,0,1,1,22.1,2,31.1,0.748
13549,523287,1,1,20,46,20,32,15.7
13555,176832,0,1,1,31.1,2.3,43.5,1.494
13555,549861,1,1,10,46,25,33,16.4
13629,176906,0,1,1,7.9,1.1,10,0.01
13629,218528,1,1,200,46,14,27,2.09
13631,176908,0,1,1,11.9,1.1,11.4,0.01
13631,218530,1,1,200,48,15,27,0.7
13634,176911,0,1,1,7.1,2.7,13.1,0.04
13635,176912,0,1,1,4.8,3.4,12.8,0.034
13635,254120,1,2,10,16,10,12,0
13635,218533,1,1,240,52,34,33,9.82
13640,176917,0,1,1,13.8,3.3,8,0.05
13640,218538,1,1,120,50,36,29,7.4
13642,176919,0,1,1,13.9,3.2,8,0.052
13642,218540,1,1,120,49.8,36,30.2,7.762
13684,176961,0,1,1,7.9,3.4,49.4,0.158
13684,234936,1,1,50,51,49,32,9.05
13689,176966,0,1,1,14.9,4,52.8,0.424
13689,523295,1,1,30,54,47,36,13.3
